dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
Handwriting,linear_conv_0_8_gaussian_fpe,120,152,26,0.1478,0.0196,9,0.0150,0.1478 ± 0.0150
Handwriting,linear_conv_1_sinc_fpe,120,152,26,0.1299,0.0085,9,0.0066,0.1299 ± 0.0066
Handwriting,linear_conv_2_sinc_fpe,120,152,26,0.1482,0.0259,10,0.0185,0.1482 ± 0.0185
Handwriting,linear_conv_5_sinc_fpe,120,152,26,0.1746,0.0267,9,0.0205,0.1746 ± 0.0205
Handwriting,linear_conv_learnable_random_pe,120,152,26,0.1400,0.0172,10,0.0123,0.1400 ± 0.0123
Handwriting,linear_conv_learnable_sinusoidal,120,152,26,0.1437,0.0296,10,0.0212,0.1437 ± 0.0212
Handwriting,linear_conv_random_pe,120,152,26,0.1036,0.0304,10,0.0217,0.1036 ± 0.0217
Handwriting,linear_conv_sinusoidal,120,152,26,0.1492,0.0250,10,0.0179,0.1492 ± 0.0179
Handwriting,linear_no_pe,120,152,26,0.0989,0.0111,8,0.0093,0.0989 ± 0.0093
Heartbeat,linear_conv_0_8_gaussian_fpe,163,405,2,0.7421,0.0112,8,0.0093,0.7421 ± 0.0093
Heartbeat,linear_conv_1_sinc_fpe,163,405,2,0.7469,0.0168,9,0.0129,0.7469 ± 0.0129
Heartbeat,linear_conv_2_sinc_fpe,163,405,2,0.7468,0.0139,10,0.0099,0.7468 ± 0.0099
Heartbeat,linear_conv_5_sinc_fpe,163,405,2,0.7327,0.0253,10,0.0181,0.7327 ± 0.0181
Heartbeat,linear_conv_learnable_random_pe,163,405,2,0.7220,0.0000,8,0.0000,0.7220 ± 0.0000
Heartbeat,linear_conv_learnable_sinusoidal,163,405,2,0.7356,0.0117,10,0.0084,0.7356 ± 0.0084
Heartbeat,linear_conv_random_pe,163,405,2,0.7220,0.0000,7,0.0000,0.7220 ± 0.0000
Heartbeat,linear_conv_sinusoidal,163,405,2,0.7451,0.0085,8,0.0071,0.7451 ± 0.0071
Heartbeat,linear_no_pe,163,405,2,0.7327,0.0209,10,0.0150,0.7327 ± 0.0150
InsectWingbeat,linear_conv_0_8_gaussian_fpe,20000,22,10,0.6148,0.0040,10,0.0028,0.6148 ± 0.0028
InsectWingbeat,linear_conv_1_sinc_fpe,20000,22,10,0.6150,0.0046,10,0.0033,0.6150 ± 0.0033
InsectWingbeat,linear_conv_2_sinc_fpe,20000,22,10,0.6128,0.0013,8,0.0011,0.6128 ± 0.0011
InsectWingbeat,linear_conv_5_sinc_fpe,20000,22,10,0.5985,0.0039,10,0.0028,0.5985 ± 0.0028
InsectWingbeat,linear_conv_learnable_random_pe,20000,22,10,0.5905,0.0112,10,0.0080,0.5905 ± 0.0080
InsectWingbeat,linear_conv_learnable_sinusoidal,20000,22,10,0.6062,0.0050,10,0.0036,0.6062 ± 0.0036
InsectWingbeat,linear_conv_random_pe,20000,22,10,0.5579,0.0032,9,0.0025,0.5579 ± 0.0025
InsectWingbeat,linear_conv_sinusoidal,20000,22,10,0.6034,0.0057,9,0.0044,0.6034 ± 0.0044
InsectWingbeat,linear_no_pe,20000,22,10,0.5759,0.0068,10,0.0049,0.5759 ± 0.0049
LSST,linear_conv_0_8_gaussian_fpe,1967,36,14,0.6016,0.0110,10,0.0079,0.6016 ± 0.0079
LSST,linear_conv_1_sinc_fpe,1967,36,14,0.6101,0.0071,8,0.0059,0.6101 ± 0.0059
LSST,linear_conv_2_sinc_fpe,1967,36,14,0.5890,0.0090,10,0.0065,0.5890 ± 0.0065
LSST,linear_conv_5_sinc_fpe,1967,36,14,0.5444,0.0150,10,0.0108,0.5444 ± 0.0108
LSST,linear_conv_learnable_random_pe,1967,36,14,0.5027,0.0057,10,0.0041,0.5027 ± 0.0041
LSST,linear_conv_learnable_sinusoidal,1967,36,14,0.5451,0.0141,10,0.0101,0.5451 ± 0.0101
LSST,linear_conv_random_pe,1967,36,14,0.4744,0.0121,10,0.0086,0.4744 ± 0.0086
LSST,linear_conv_sinusoidal,1967,36,14,0.5438,0.0135,10,0.0097,0.5438 ± 0.0097
LSST,linear_no_pe,1967,36,14,0.5770,0.0092,9,0.0071,0.5770 ± 0.0071
Libras,linear_conv_0_8_gaussian_fpe,144,45,15,0.6735,0.0218,9,0.0168,0.6735 ± 0.0168
Libras,linear_conv_1_sinc_fpe,144,45,15,0.6646,0.0192,8,0.0161,0.6646 ± 0.0161
Libras,linear_conv_2_sinc_fpe,144,45,15,0.6472,0.0559,10,0.0400,0.6472 ± 0.0400
Libras,linear_conv_5_sinc_fpe,144,45,15,0.6022,0.0528,10,0.0378,0.6022 ± 0.0378
Libras,linear_conv_learnable_random_pe,144,45,15,0.5944,0.0310,10,0.0221,0.5944 ± 0.0221
Libras,linear_conv_learnable_sinusoidal,144,45,15,0.6272,0.0340,10,0.0243,0.6272 ± 0.0243
Libras,linear_conv_random_pe,144,45,15,0.5914,0.0242,9,0.0186,0.5914 ± 0.0186
Libras,linear_conv_sinusoidal,144,45,15,0.6167,0.0247,9,0.0190,0.6167 ± 0.0190
Libras,linear_no_pe,144,45,15,0.4321,0.0444,9,0.0341,0.4321 ± 0.0341
MotorImagery,linear_conv_0_8_gaussian_fpe,222,3000,2,0.5150,0.0440,10,0.0315,0.5150 ± 0.0315
MotorImagery,linear_conv_1_sinc_fpe,222,3000,2,0.5120,0.0531,10,0.0380,0.5120 ± 0.0380
MotorImagery,linear_conv_2_sinc_fpe,222,3000,2,0.5180,0.0752,10,0.0538,0.5180 ± 0.0538
MotorImagery,linear_conv_5_sinc_fpe,222,3000,2,0.5190,0.0520,10,0.0372,0.5190 ± 0.0372
MotorImagery,linear_conv_learnable_random_pe,222,3000,2,0.5130,0.0343,10,0.0246,0.5130 ± 0.0246
MotorImagery,linear_conv_learnable_sinusoidal,222,3000,2,0.4960,0.0615,10,0.0440,0.4960 ± 0.0440
MotorImagery,linear_conv_random_pe,222,3000,2,0.5030,0.0540,10,0.0386,0.5030 ± 0.0386
MotorImagery,linear_conv_sinusoidal,222,3000,2,0.4970,0.0617,10,0.0441,0.4970 ± 0.0441
MotorImagery,linear_no_pe,222,3000,2,0.4990,0.0692,10,0.0495,0.4990 ± 0.0495
NATOPS,linear_conv_0_8_gaussian_fpe,144,51,6,0.8815,0.0262,9,0.0201,0.8815 ± 0.0201
NATOPS,linear_conv_1_sinc_fpe,144,51,6,0.8856,0.0355,10,0.0254,0.8856 ± 0.0254
NATOPS,linear_conv_2_sinc_fpe,144,51,6,0.8593,0.0250,9,0.0192,0.8593 ± 0.0192
NATOPS,linear_conv_5_sinc_fpe,144,51,6,0.8056,0.0390,10,0.0279,0.8056 ± 0.0279
NATOPS,linear_conv_learnable_random_pe,144,51,6,0.8184,0.0423,10,0.0303,0.8184 ± 0.0303
