dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
SelfRegulationSCP1,linear_conv_5_sinc_fpe,0.7897 ± 0.0148,0.7897,0.0222,0.0148,8,10
SelfRegulationSCP1,linear_conv_learnable_random_pe,0.7291 ± 0.0760,0.7291,0.1135,0.0760,8,10
SelfRegulationSCP1,linear_conv_learnable_sinusoidal,0.7419 ± 0.0731,0.7419,0.1091,0.0731,8,10
SelfRegulationSCP1,linear_conv_random_pe,0.5867 ± 0.0785,0.5867,0.1267,0.0785,9,10
SelfRegulationSCP1,linear_conv_sinusoidal,0.8238 ± 0.0200,0.8238,0.0299,0.0200,8,10
SelfRegulationSCP1,linear_no_pe,0.6941 ± 0.0348,0.6941,0.0519,0.0348,8,10
SelfRegulationSCP2,linear_conv_0_8_gaussian_fpe,0.5389 ± 0.0093,0.5389,0.0150,0.0093,9,10
SelfRegulationSCP2,linear_conv_1_sinc_fpe,0.5465 ± 0.0048,0.5465,0.0072,0.0048,8,10
SelfRegulationSCP2,linear_conv_2_sinc_fpe,0.5493 ± 0.0081,0.5493,0.0121,0.0081,8,10
SelfRegulationSCP2,linear_conv_5_sinc_fpe,0.5444 ± 0.0174,0.5444,0.0260,0.0174,8,10
SelfRegulationSCP2,linear_conv_learnable_random_pe,0.5173 ± 0.0137,0.5173,0.0221,0.0137,9,10
SelfRegulationSCP2,linear_conv_learnable_sinusoidal,0.5312 ± 0.0165,0.5312,0.0247,0.0165,8,10
SelfRegulationSCP2,linear_conv_random_pe,0.4993 ± 0.0067,0.4993,0.0100,0.0067,8,10
SelfRegulationSCP2,linear_conv_sinusoidal,0.5403 ± 0.0136,0.5403,0.0203,0.0136,8,10
SelfRegulationSCP2,linear_no_pe,0.5368 ± 0.0101,0.5368,0.0151,0.0101,8,10
SpokenArabicDigits,linear_conv_0_8_gaussian_fpe,0.9783 ± 0.0033,0.9783,0.0050,0.0033,8,10
SpokenArabicDigits,linear_conv_1_sinc_fpe,0.9743 ± 0.0016,0.9743,0.0024,0.0016,8,10
SpokenArabicDigits,linear_conv_2_sinc_fpe,0.9808 ± 0.0020,0.9808,0.0030,0.0020,8,10
