dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
SpokenArabicDigits,1d_conv_additive_sinusoidal,5279,93,10,0.9302,0.0048,9,0.0037,0.9302 ± 0.0037
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,5279,93,10,0.9704,0.0075,10,0.0054,0.9704 ± 0.0054
SpokenArabicDigits,1d_conv_circular_conv_split_sinusoidal,5279,93,10,0.9725,0.0040,9,0.0031,0.9725 ± 0.0031
SpokenArabicDigits,1d_conv_component_wise_sinusoidal,5279,93,10,0.9782,0.0062,10,0.0044,0.9782 ± 0.0044
SpokenArabicDigits,linear_additive_sinusoidal,5279,93,10,0.9191,0.0140,10,0.0100,0.9191 ± 0.0100
SpokenArabicDigits,linear_additive_split_sinusoidal,5279,93,10,0.9216,0.0133,10,0.0095,0.9216 ± 0.0095
SpokenArabicDigits,linear_circular_conv_sinusoidal,5279,93,10,0.9726,0.0064,10,0.0046,0.9726 ± 0.0046
SpokenArabicDigits,linear_component_wise_sinusoidal,5279,93,10,0.9776,0.0024,10,0.0017,0.9776 ± 0.0017
StandWalkJump,1d_conv_additive_sinusoidal,9,2500,3,0.3200,0.0984,10,0.0704,0.3200 ± 0.0704
StandWalkJump,1d_conv_circular_conv_sinusoidal,9,2500,3,0.3333,0.0000,8,0.0000,0.3333 ± 0.0000
StandWalkJump,1d_conv_circular_conv_split_sinusoidal,9,2500,3,0.3067,0.1004,10,0.0718,0.3067 ± 0.0718
StandWalkJump,1d_conv_component_wise_sinusoidal,9,2500,3,0.2733,0.0858,10,0.0614,0.2733 ± 0.0614
StandWalkJump,linear_additive_sinusoidal,9,2500,3,0.3167,0.0471,8,0.0394,0.3167 ± 0.0394
StandWalkJump,linear_additive_split_sinusoidal,9,2500,3,0.4067,0.1016,10,0.0727,0.4067 ± 0.0727
StandWalkJump,linear_circular_conv_sinusoidal,9,2500,3,0.3000,0.0786,10,0.0562,0.3000 ± 0.0562
StandWalkJump,linear_component_wise_sinusoidal,9,2500,3,0.3200,0.0612,10,0.0438,0.3200 ± 0.0438
UWaveGestureLibraryAll,1d_conv_additive_sinusoidal,716,945,8,0.5405,0.1086,10,0.0777,0.5405 ± 0.0777
UWaveGestureLibraryAll,1d_conv_circular_conv_sinusoidal,716,945,8,0.8949,0.0038,10,0.0027,0.8949 ± 0.0027
UWaveGestureLibraryAll,1d_conv_circular_conv_split_sinusoidal,716,945,8,0.8888,0.0068,10,0.0049,0.8888 ± 0.0049
UWaveGestureLibraryAll,1d_conv_component_wise_sinusoidal,716,945,8,0.8857,0.0104,10,0.0074,0.8857 ± 0.0074
UWaveGestureLibraryAll,linear_additive_sinusoidal,716,945,8,0.5372,0.1548,10,0.1108,0.5372 ± 0.1108
UWaveGestureLibraryAll,linear_additive_split_sinusoidal,716,945,8,0.6543,0.0458,8,0.0383,0.6543 ± 0.0383
UWaveGestureLibraryAll,linear_circular_conv_sinusoidal,716,945,8,0.8912,0.0067,10,0.0048,0.8912 ± 0.0048
UWaveGestureLibraryAll,linear_component_wise_sinusoidal,716,945,8,0.8885,0.0099,10,0.0071,0.8885 ± 0.0071
