dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
LSST,linear_conv_1_sinc_fpe,1967,36,14,0.6002,0.0112,10,0.0080,0.6002 ± 0.0080
LSST,linear_conv_2_sinc_fpe,1967,36,14,0.5912,0.0078,9,0.0060,0.5912 ± 0.0060
LSST,linear_conv_5_sinc_fpe,1967,36,14,0.5539,0.0069,9,0.0053,0.5539 ± 0.0053
LSST,linear_conv_learnable_random_pe,1967,36,14,0.5107,0.0087,10,0.0062,0.5107 ± 0.0062
LSST,linear_conv_learnable_sinusoidal,1967,36,14,0.5808,0.0133,10,0.0095,0.5808 ± 0.0095
LSST,linear_conv_random_pe,1967,36,14,0.4886,0.0087,10,0.0062,0.4886 ± 0.0062
LSST,linear_conv_sinusoidal,1967,36,14,0.5985,0.0089,10,0.0063,0.5985 ± 0.0063
LSST,linear_no_pe,1967,36,14,0.5770,0.0092,9,0.0071,0.5770 ± 0.0071
Libras,linear_conv_0_8_gaussian_fpe,144,45,15,0.6456,0.0459,10,0.0328,0.6456 ± 0.0328
Libras,linear_conv_1_sinc_fpe,144,45,15,0.6639,0.0314,10,0.0224,0.6639 ± 0.0224
Libras,linear_conv_2_sinc_fpe,144,45,15,0.6294,0.0397,10,0.0284,0.6294 ± 0.0284
Libras,linear_conv_5_sinc_fpe,144,45,15,0.6111,0.0419,10,0.0300,0.6111 ± 0.0300
Libras,linear_conv_learnable_random_pe,144,45,15,0.5922,0.0360,10,0.0258,0.5922 ± 0.0258
Libras,linear_conv_learnable_sinusoidal,144,45,15,0.6484,0.0119,7,0.0110,0.6484 ± 0.0110
Libras,linear_conv_random_pe,144,45,15,0.5589,0.0395,10,0.0282,0.5589 ± 0.0282
Libras,linear_conv_sinusoidal,144,45,15,0.6265,0.0260,9,0.0200,0.6265 ± 0.0200
Libras,linear_no_pe,144,45,15,0.4321,0.0444,9,0.0341,0.4321 ± 0.0341
MotorImagery,linear_conv_0_8_gaussian_fpe,222,3000,2,0.4856,0.0498,9,0.0383,0.4856 ± 0.0383
MotorImagery,linear_conv_1_sinc_fpe,222,3000,2,0.4970,0.0562,10,0.0402,0.4970 ± 0.0402
MotorImagery,linear_conv_2_sinc_fpe,222,3000,2,0.5170,0.0414,10,0.0296,0.5170 ± 0.0296
MotorImagery,linear_conv_5_sinc_fpe,222,3000,2,0.5110,0.0569,10,0.0407,0.5110 ± 0.0407
MotorImagery,linear_conv_learnable_random_pe,222,3000,2,0.4810,0.0341,10,0.0244,0.4810 ± 0.0244
MotorImagery,linear_conv_learnable_sinusoidal,222,3000,2,0.5500,0.0304,9,0.0234,0.5500 ± 0.0234
MotorImagery,linear_conv_random_pe,222,3000,2,0.4790,0.0420,10,0.0301,0.4790 ± 0.0301
MotorImagery,linear_conv_sinusoidal,222,3000,2,0.5090,0.0415,10,0.0297,0.5090 ± 0.0297
MotorImagery,linear_no_pe,222,3000,2,0.4990,0.0692,10,0.0495,0.4990 ± 0.0495
NATOPS,linear_conv_0_8_gaussian_fpe,144,51,6,0.8717,0.0406,10,0.0291,0.8717 ± 0.0291
NATOPS,linear_conv_1_sinc_fpe,144,51,6,0.8827,0.0357,9,0.0275,0.8827 ± 0.0275
NATOPS,linear_conv_2_sinc_fpe,144,51,6,0.8411,0.0394,10,0.0282,0.8411 ± 0.0282
NATOPS,linear_conv_5_sinc_fpe,144,51,6,0.8327,0.0185,9,0.0142,0.8327 ± 0.0142
NATOPS,linear_conv_learnable_random_pe,144,51,6,0.8535,0.0171,8,0.0143,0.8535 ± 0.0143
